"","alias","Compartment","Mesocosm","Sample_type","Water_type","Time","Sampling_date","NA_ppm","group","adhP","aliA","badH","bamB","bamD","fadJ","fadN","gabD","mhpD","mhpE","phaZ","pobA","ppk","putA","soxY","soxZ"
"NS.1871.002.IDT_i7_129---IDT_i5_129.36-Mesocosm-6-2-Exp1-D8-Racine","36-Mesocosm-6-2-Exp1-D8-Racine","Roots","Mesocosm_6","Carex","OSPW","D8","29-07-2021",68.3,"Roots.Carex.OSPW.D8",16.933,1.749,1.694,37.479,6.039,26.416,16.259,32.057,2.429,1.92,5.197,10.95,61.408,14.567,11.793,10.383
"NS.1871.002.IDT_i7_13---IDT_i5_13.107-Mesocosm-6-1-Exp1-TEST-Sed","107-Mesocosm-6-1-Exp1-TEST-Sed","Sediments","Mesocosm_6","Carex","OSPW","D84","13-10-2021",13.1,"Sediments.Carex.OSPW.D84",96.651,22.881,38.744,318.208,76.179,107.078,156.213,158.875,29.902,19.925,58.478,39.159,264.306,141.798,32.523,19.06
"NS.1871.002.IDT_i7_130---IDT_i5_130.52-Mesocosm-2-2-Exp1-D28-Racine","52-Mesocosm-2-2-Exp1-D28-Racine","Roots","Mesocosm_2","Carex","OSPW","D28","18-08-2021",59.8,"Roots.Carex.OSPW.D28",0.939,0,0.446,5.719,1.115,2.234,2.857,3.752,0.67,1.162,0.894,1.52,9.337,2.054,1.162,1.118
"NS.1871.002.IDT_i7_131---IDT_i5_131.120-Mesocosm-12-2-Exp1-TEST-Racine","120-Mesocosm-12-2-Exp1-TEST-Racine","Roots","Mesocosm_12","Carex","OSPW","D84","13-10-2021",23.4,"Roots.Carex.OSPW.D84",9.256,2.779,3.372,30.225,7.277,14.024,17.265,24.742,1.983,3.508,5.951,3.503,33.411,22.558,3.967,1.783
"NS.1871.002.IDT_i7_133---IDT_i5_133.24-Mesocosm-12-2-Exp1-D-0-Sed","24-Mesocosm-12-2-Exp1-D-0-Sed","Sediments","Mesocosm_12","Carex","OSPW","D-0","14-07-2021",0.7,"Sediments.Carex.OSPW.D-0",90.507,21.168,42.338,316.076,74.261,94.169,165.414,156.68,30.07,13.142,47.274,37.365,243.04,117.657,29.728,15.188
"NS.1871.002.IDT_i7_134---IDT_i5_134.30-Mesocosm-3-2-Exp1-D8-Sed","30-Mesocosm-3-2-Exp1-D8-Sed","Sediments","Mesocosm_3","No_plant","OSPW","D8","29-07-2021",75.1,"Sediments.No_plant.OSPW.D8",83.589,18.131,34.373,301.86,70.756,88.717,145.564,133.433,20.743,12.777,48.223,31.673,223.861,119.694,27.489,14.442
"NS.1871.002.IDT_i7_135---IDT_i5_135.36-Mesocosm-6-2-Exp1-D8-Sed","36-Mesocosm-6-2-Exp1-D8-Sed","Sediments","Mesocosm_6","Carex","OSPW","D8","29-07-2021",68.3,"Sediments.Carex.OSPW.D8",96.681,24.318,42.174,324.827,79.97,117.99,153.318,163.168,25.708,18.905,55.172,39.07,249.651,137.681,41.17,19.782
"NS.1871.002.IDT_i7_136---IDT_i5_136.41-Mesocosm-9-1-Exp1-D8-Sed","41-Mesocosm-9-1-Exp1-D8-Sed","Sediments","Mesocosm_9","No_plant","OSPW","D8","29-07-2021",92,"Sediments.No_plant.OSPW.D8",66.637,16.513,30.545,239.662,49.398,71.837,103.472,111.01,20.979,10.962,37.434,29.055,179.29,91.134,24.314,11.539
"NS.1871.002.IDT_i7_137---IDT_i5_137.47-Mesocosm-12-1-Exp1-D8-Rhizo","47-Mesocosm-12-1-Exp1-D8-Rhizo","Rhizosphere","Mesocosm_12","Carex","OSPW","D8","29-07-2021",79.1,"Rhizosphere.Carex.OSPW.D8",88.567,26.642,36.872,303.946,72.145,98.867,162.049,159.518,28.973,12.942,53.771,39.574,256.093,125.108,32.285,15.809
"NS.1871.002.IDT_i7_138---IDT_i5_138.52-Mesocosm-2-2-Exp1-D28-Rhizo","52-Mesocosm-2-2-Exp1-D28-Rhizo","Rhizosphere","Mesocosm_2","Carex","OSPW","D28","18-08-2021",59.8,"Rhizosphere.Carex.OSPW.D28",103.637,20.368,41.618,372.989,82.18,115.088,167.244,183.021,33.975,15.413,65.801,42.709,262.761,147.629,37.292,22.049
"NS.1871.002.IDT_i7_139---IDT_i5_139.64-Mesocosm-8-2-Exp1-D28-Sed","64-Mesocosm-8-2-Exp1-D28-Sed","Sediments","Mesocosm_8","No_plant","Artificial_OSPW","D28","18-08-2021",0.4,"Sediments.No_plant.Artificial_OSPW.D28",37.61,11.364,18.607,116.119,25.449,30.776,57.691,54.833,11.566,5.915,20.005,14.753,90.063,38.348,11.164,5.115
"NS.1871.002.IDT_i7_14---IDT_i5_14.107-Mesocosm-6-1-Exp1-TEST-Racines","107-Mesocosm-6-1-Exp1-TEST-Racines","Roots","Mesocosm_6","Carex","OSPW","D84","13-10-2021",13.1,"Roots.Carex.OSPW.D84",4.291,1.609,2.252,14.105,5.474,7.723,8.313,13.953,1.876,1.394,3.056,2.36,22.318,7.667,1.825,0.804
"NS.1871.002.IDT_i7_141---IDT_i5_141.37-Mesocosm-7-1-Exp1-D8-Racine","37-Mesocosm-7-1-Exp1-D8-Racine","Roots","Mesocosm_7","Carex","OSPW","D8","29-07-2021",112.6,"Roots.Carex.OSPW.D8",7.23,1.664,4.264,25.903,14.308,22.946,33.036,34.073,2.028,2.497,10.925,4.784,49.378,29.447,5.772,3.746
"NS.1871.002.IDT_i7_142---IDT_i5_142.75-Mesocosm-2-1-Exp1-D42-Racine","75-Mesocosm-2-1-Exp1-D42-Racine","Roots","Mesocosm_2","Carex","OSPW","D42","01-09-2021",40.6,"Roots.Carex.OSPW.D42",2.119,0.424,0.339,2.925,0.762,2.966,3.771,2.287,0.085,0.042,0.975,0.085,5.295,3.05,0.085,0.085
"NS.1871.002.IDT_i7_143---IDT_i5_143.59-Mesocosm-6-1-Exp1-D28-Sed","59-Mesocosm-6-1-Exp1-D28-Sed","Sediments","Mesocosm_6","Carex","OSPW","D28","18-08-2021",52.3,"Sediments.Carex.OSPW.D28",41.481,9.442,16.554,131.384,33.443,40.892,61.503,57.907,8.974,5.785,19.213,13.698,107.653,55.918,16.487,4.251
"NS.1871.002.IDT_i7_145---IDT_i5_145.25-Mesocosm-1-1-Exp1-D8-Sed","25-Mesocosm-1-1-Exp1-D8-Sed","Sediments","Mesocosm_1","No_plant","OSPW","D8","29-07-2021",NA,"Sediments.No_plant.OSPW.D8",99.811,23.567,41.509,361.763,78.43,114.427,175.3,189.216,36.986,12.906,67.981,45.561,306.685,185.552,37.527,14.174
"NS.1871.002.IDT_i7_146---IDT_i5_146.31-Mesocosm-4-1-Exp1-D8-Sed","31-Mesocosm-4-1-Exp1-D8-Sed","Sediments","Mesocosm_4","No_plant","Artificial_OSPW","D8","29-07-2021",0.2,"Sediments.No_plant.Artificial_OSPW.D8",64.515,14.491,25.829,223.92,50.308,62.284,102.91,95.17,19.314,7.433,29.743,24.745,164.752,74.533,16.547,9.822
"NS.1871.002.IDT_i7_147---IDT_i5_147.37-Mesocosm-7-1-Exp1-D8-Sed","37-Mesocosm-7-1-Exp1-D8-Sed","Sediments","Mesocosm_7","Carex","OSPW","D8","29-07-2021",112.6,"Sediments.Carex.OSPW.D8",24.074,8.027,14.212,112.423,36.935,46.997,65.162,73.048,11.903,7.413,29.795,17.819,123.655,58.088,15.712,6.869
"NS.1871.002.IDT_i7_148---IDT_i5_148.42-Mesocosm-9-2-Exp1-D8-Sed","42-Mesocosm-9-2-Exp1-D8-Sed","Sediments","Mesocosm_9","No_plant","OSPW","D8","29-07-2021",92,"Sediments.No_plant.OSPW.D8",65.528,15.696,23.682,216.659,46.216,56.452,101.928,95.083,19.487,10.748,31.212,29.892,155.577,75.489,19.653,9.94
"NS.1871.002.IDT_i7_149---IDT_i5_149.48-Mesocosm-12-2-Exp1-D8-Sed","48-Mesocosm-12-2-Exp1-D8-Sed","Sediments","Mesocosm_12","Carex","OSPW","D8","29-07-2021",79.1,"Sediments.Carex.OSPW.D8",61.8,14.309,25.715,229.611,50.205,68.851,107.399,114.418,18.559,8.459,37.931,28.217,181.669,90.386,21.072,10.532
"NS.1871.002.IDT_i7_15---IDT_i5_15.102-Mesocosm-3-2-Exp1-TEST-Sed","102-Mesocosm-3-2-Exp1-TEST-Sed","Sediments","Mesocosm_3","No_plant","OSPW","D84","13-10-2021",57.4,"Sediments.No_plant.OSPW.D84",52.078,12.772,26.04,174.403,41.911,66.772,82.149,94.362,19.468,11.035,28.21,21.142,162.247,89.772,18.972,10.106
"NS.1871.002.IDT_i7_150---IDT_i5_150.53-Mesocosm-3-1-Exp1-D28-Sed","53-Mesocosm-3-1-Exp1-D28-Sed","Sediments","Mesocosm_3","No_plant","OSPW","D28","18-08-2021",122.8,"Sediments.No_plant.OSPW.D28",66.248,13.734,25.078,206.621,47.114,66.48,95.951,96.389,15.691,10.622,30.327,24.635,165.576,79.973,19.472,10.478
"NS.1871.002.IDT_i7_151---IDT_i5_151.65-Mesocosm-9-1-Exp1-D28-Sed","65-Mesocosm-9-1-Exp1-D28-Sed","Sediments","Mesocosm_9","No_plant","OSPW","D28","18-08-2021",91.5,"Sediments.No_plant.OSPW.D28",18.591,1.563,5.723,52.57,15.021,9.743,20.747,23.501,2.899,1.935,5.209,4.907,36.886,11.9,4.834,1.933
"NS.1871.002.IDT_i7_152---IDT_i5_152.11-12-Mesocosm-6-1-6-2-Exp1-D-0-Racine","11-12-Mesocosm-6-1-6-2-Exp1-D-0-Racine","Roots","Mesocosm_6","Carex","OSPW","D-0","14-07-2021",1,"Roots.Carex.OSPW.D-0",11.932,3.037,4.921,33.823,15.592,22.922,23.76,36.679,6.017,3.296,16.163,9.63,43.488,26.432,6.959,2.982
"NS.1871.002.IDT_i7_153---IDT_i5_153.38-Mesocosm-7-2-Exp1-D8-Racine","38-Mesocosm-7-2-Exp1-D8-Racine","Roots","Mesocosm_7","Carex","OSPW","D8","29-07-2021",112.6,"Roots.Carex.OSPW.D8",4.097,1.209,1.785,28.258,3.519,6.827,11.45,21.586,1.156,1.313,5.777,7.406,37.972,15.228,3.1,3.205
"NS.1871.002.IDT_i7_154---IDT_i5_154.83-Mesocosm-6-1-Exp1-D42-Racine","83-Mesocosm-6-1-Exp1-D42-Racine","Roots","Mesocosm_6","Carex","OSPW","D42","01-09-2021",43.5,"Roots.Carex.OSPW.D42",5.974,0.802,2.51,26.571,6.191,15.413,16.805,20.17,1.601,3.682,10.562,4.48,33.656,12.159,5.866,3.465
"NS.1871.002.IDT_i7_155---IDT_i5_155.59-Mesocosm-6-1-Exp1-D28-Rhizo","59-Mesocosm-6-1-Exp1-D28-Rhizo","Rhizosphere","Mesocosm_6","Carex","OSPW","D28","18-08-2021",52.3,"Rhizosphere.Carex.OSPW.D28",42.856,10.332,17.661,133.648,30.402,45.875,69.469,75.134,12.8,6.997,21.999,19.065,118.86,61.068,19.866,7.402
"NS.1871.002.IDT_i7_157---IDT_i5_157.26-Mesocosm-1-2-Exp1-D8-Sed","26-Mesocosm-1-2-Exp1-D8-Sed","Sediments","Mesocosm_1","No_plant","OSPW","D8","29-07-2021",NA,"Sediments.No_plant.OSPW.D8",82.953,19.961,39.158,307.054,66.485,88.357,150.826,138.392,24.631,10.765,46.83,41.13,226.659,120.688,27.464,14.673
"NS.1871.002.IDT_i7_158---IDT_i5_158.32-Mesocosm-4-2-Exp1-D8-Sed","32-Mesocosm-4-2-Exp1-D8-Sed","Sediments","Mesocosm_4","No_plant","Artificial_OSPW","D8","29-07-2021",0.2,"Sediments.No_plant.Artificial_OSPW.D8",87.452,16.321,37.799,284.662,70.373,82.746,138.505,139.061,24.121,12.46,43.565,32.816,217.014,102.956,25.022,13.496
"NS.1871.002.IDT_i7_159---IDT_i5_159.37-Mesocosm-7-1-Exp1-D8-Rhizo","37-Mesocosm-7-1-Exp1-D8-Rhizo","Rhizosphere","Mesocosm_7","Carex","OSPW","D8","29-07-2021",112.6,"Rhizosphere.Carex.OSPW.D8",92.858,25.083,39.782,317.01,93.01,111.958,171.578,185.974,27.153,21.284,73.129,38.372,325.603,169.038,42.571,18.322
"NS.1871.002.IDT_i7_16---IDT_i5_16.110-Mesocosm-7-2-Exp1-TEST-Rhizo","110-Mesocosm-7-2-Exp1-TEST-Rhizo","Rhizosphere","Mesocosm_7","Carex","OSPW","D84","13-10-2021",10.2,"Rhizosphere.Carex.OSPW.D84",56.145,15.272,24.015,206.114,45.889,56.829,94.348,93.469,14.276,12.318,36.774,19.681,160.472,82.278,20.874,12.009
"NS.1871.002.IDT_i7_160---IDT_i5_160.43-Mesocosm-10-1-Exp1-D8-Sed","43-Mesocosm-10-1-Exp1-D8-Sed","Sediments","Mesocosm_10","No_plant","OSPW","D8","29-07-2021",87.8,"Sediments.No_plant.OSPW.D8",69.764,16.954,30.137,223.751,57.009,82.718,100.959,115.255,20.955,13.191,48.395,31.866,182.263,111.194,31.375,12.389
"NS.1871.002.IDT_i7_161---IDT_i5_161.48-Mesocosm-12-2-Exp1-D8-Rhizo","48-Mesocosm-12-2-Exp1-D8-Rhizo","Rhizosphere","Mesocosm_12","Carex","OSPW","D8","29-07-2021",79.1,"Rhizosphere.Carex.OSPW.D8",69.426,18.838,30.054,245.371,54.816,69.717,113.369,111.513,21.435,8.715,45.089,28.369,185.496,93.27,21.477,10.308
"NS.1871.002.IDT_i7_162---IDT_i5_162.54-Mesocosm-3-2-Exp1-D28-Sed","54-Mesocosm-3-2-Exp1-D28-Sed","Sediments","Mesocosm_3","No_plant","OSPW","D28","18-08-2021",122.8,"Sediments.No_plant.OSPW.D28",40.805,8.566,15.246,137.43,32.579,43.916,68.198,60.918,12.275,6.407,23.746,14.573,98.291,60.772,15.239,7.818
"NS.1871.002.IDT_i7_163---IDT_i5_163.66-Mesocosm-9-2-Exp1-D28-Sed","66-Mesocosm-9-2-Exp1-D28-Sed","Sediments","Mesocosm_9","No_plant","OSPW","D28","18-08-2021",91.5,"Sediments.No_plant.OSPW.D28",47.501,8.648,18.247,181.423,31.008,44.412,71.44,77.885,12.566,3.722,18.063,18.071,116.299,54.839,13.578,7.898
"NS.1871.002.IDT_i7_164---IDT_i5_164.13-14-Mesocosm-7-1-7-2-Exp1-D-0-Racine","13-14-Mesocosm-7-1-7-2-Exp1-D-0-Racine","Roots","Mesocosm_7","Carex","OSPW","D-0","14-07-2021",0.4,"Roots.Carex.OSPW.D-0",7.057,1.562,1.765,16.023,5.975,8.487,12.49,13.443,3.121,2.918,8.757,2.172,19.953,14.117,5.156,1.426
"NS.1871.002.IDT_i7_165---IDT_i5_165.47-Mesocosm-12-1-Exp1-D8-Racine","47-Mesocosm-12-1-Exp1-D8-Racine","Roots","Mesocosm_12","Carex","OSPW","D8","29-07-2021",79.1,"Roots.Carex.OSPW.D8",1.947,1.028,1.731,12.503,4.109,6.929,11.692,12.503,2.761,1.46,4.709,3.14,18.944,11.697,2.815,1.298
"NS.1871.002.IDT_i7_166---IDT_i5_166.85-Mesocosm-7-1-Exp1-D42-Racine","85-Mesocosm-7-1-Exp1-D42-Racine","Roots","Mesocosm_7","Carex","OSPW","D42","01-09-2021",55.2,"Roots.Carex.OSPW.D42",3.571,0.368,0.368,9.242,4.149,4.2,10.03,7.088,1.103,1.68,3.36,1.47,20.477,8.716,2.048,2.1
"NS.1871.002.IDT_i7_169---IDT_i5_169.27-Mesocosm-2-1-Exp1-D8-Sed","27-Mesocosm-2-1-Exp1-D8-Sed","Sediments","Mesocosm_2","Carex","OSPW","D8","29-07-2021",74.8,"Sediments.Carex.OSPW.D8",39.06,8.084,22.42,286.845,45.273,72.674,69.191,111.27,21.389,14.101,50.065,26.84,172.622,110.052,16.826,10.153
