"","alias","Compartment","Mesocosm","Sample_type","Water_type","Time","Sampling_date","NA_ppm","group","adhP","aliA","badH","bamB","bamD","fadJ","fadN","gabD","mhpD","mhpE","phaZ","pobA","ppk","putA","soxY","soxZ"
"NS.1871.002.IDT_i7_74---IDT_i5_74.100-Mesocosm-2-2-Exp1-TEST-Sed","100-Mesocosm-2-2-Exp1-TEST-Sed","Sediments","Mesocosm_2","Carex","OSPW","D84","13-10-2021",21.6,"Sediments.Carex.OSPW.D84",83.326,21.48,36.972,316.934,68.563,92.854,150.347,153.004,27.424,19.959,56.193,36.977,245.428,131.49,33.627,15.005
"NS.1871.002.IDT_i7_75---IDT_i5_75.108-Mesocosm-6-2-Exp1-TEST-Rhizo","108-Mesocosm-6-2-Exp1-TEST-Rhizo","Rhizosphere","Mesocosm_6","Carex","OSPW","D84","13-10-2021",13.1,"Rhizosphere.Carex.OSPW.D84",70.697,14.458,29.649,225.425,56.966,73.546,117.988,116.528,19.652,15.478,39.008,32.747,205.694,97.943,22.953,12.233
"NS.1871.002.IDT_i7_76---IDT_i5_76.115-Mesocosm-10-1-Exp1-TEST-Sed","115-Mesocosm-10-1-Exp1-TEST-Sed","Sediments","Mesocosm_10","No_plant","OSPW","D84","13-10-2021",65.4,"Sediments.No_plant.OSPW.D84",51.648,9.6,20.112,174.908,46.655,54.767,91.727,83.422,13.728,8.688,27.36,21.6,131.664,72.382,17.472,9.744
"NS.1871.002.IDT_i7_77---IDT_i5_77.74-Mesocosm-1-2-Exp1-D42-Sed","74-Mesocosm-1-2-Exp1-D42-Sed","Sediments","Mesocosm_1","No_plant","OSPW","D42","01-09-2021",64.9,"Sediments.No_plant.OSPW.D42",56.064,10.224,24.72,187.733,49.248,60.097,81.41,96.242,14.832,10.656,33.024,23.952,150.918,75.795,16.848,10.32
"NS.1871.002.IDT_i7_78---IDT_i5_78.82-Mesocosm-5-2-Exp1-D42-Sed","82-Mesocosm-5-2-Exp1-D42-Sed","Sediments","Mesocosm_5","No_plant","Artificial_OSPW","D42","01-09-2021",0.5,"Sediments.No_plant.Artificial_OSPW.D42",66.861,15.719,29.758,253.647,67.041,75.899,125.081,116.022,20.055,11.618,37.645,27.202,189.742,95.601,23.236,13.112
"NS.1871.002.IDT_i7_79---IDT_i5_79.90-Mesocosm-9-2-Exp1-D42-Sed","90-Mesocosm-9-2-Exp1-D42-Sed","Sediments","Mesocosm_9","No_plant","OSPW","D42","01-09-2021",67.2,"Sediments.No_plant.OSPW.D42",77.485,18.707,30.274,265.86,67.606,71.699,118.785,123.57,24.951,11.149,38.768,29.109,206.073,92.548,23.703,12.179
"NS.1871.002.IDT_i7_8---IDT_i5_8.92-Mesocosm-10-2-Exp1-D42-Sed","92-Mesocosm-10-2-Exp1-D42-Sed","Sediments","Mesocosm_10","No_plant","OSPW","D42","01-09-2021",62.1,"Sediments.No_plant.OSPW.D42",58.187,13.562,23.053,212.713,43.651,49.127,89.324,87.427,12.389,7.889,32.367,18.246,135.325,72.929,18.931,9.553
"NS.1871.002.IDT_i7_80---IDT_i5_80.3-Mesocosm-2-1-Exp1-D-0-Sed","3-Mesocosm-2-1-Exp1-D-0-Sed","Sediments","Mesocosm_2","Carex","OSPW","D-0","14-07-2021",0.7,"Sediments.Carex.OSPW.D-0",96.825,24.117,43.129,291.989,72.709,101.504,160.478,163.193,24.732,15.974,51.839,41.588,251.103,119.845,30.587,13.597
"NS.1871.002.IDT_i7_81---IDT_i5_81.10-Mesocosm-5-2-Exp1-D-0-Sed","10-Mesocosm-5-2-Exp1-D-0-Sed","Sediments","Mesocosm_5","No_plant","Artificial_OSPW","D-0","14-07-2021",0.9,"Sediments.No_plant.Artificial_OSPW.D-0",58.268,15.84,23.952,177.737,33.984,62.586,87.78,85.291,16.031,10.943,27.312,21.023,135.352,73.005,21.648,8.928
"NS.1871.002.IDT_i7_82---IDT_i5_82.16-Mesocosm-8-2-Exp1-D-0-Sed","16-Mesocosm-8-2-Exp1-D-0-Sed","Sediments","Mesocosm_8","No_plant","Artificial_OSPW","D-0","14-07-2021",1.9,"Sediments.No_plant.Artificial_OSPW.D-0",91.882,19.869,40.416,309.714,71.165,90.852,148.067,147.795,28.81,12.682,51.795,31.881,228.668,125.087,36.082,15.666
"NS.1871.002.IDT_i7_85---IDT_i5_85.119-Mesocosm-12-1-Exp1-TEST-Rhizo","119-Mesocosm-12-1-Exp1-TEST-Rhizo","Rhizosphere","Mesocosm_12","Carex","OSPW","D84","13-10-2021",23.4,"Rhizosphere.Carex.OSPW.D84",64.745,12.545,25.424,214.811,50.568,74.077,97.204,106.288,16.532,14.179,36.195,23.263,174.078,94.222,22.398,10.764
"NS.1871.002.IDT_i7_86---IDT_i5_86.100-Mesocosm-2-2-Exp1-TEST-Rhizo","100-Mesocosm-2-2-Exp1-TEST-Rhizo","Rhizosphere","Mesocosm_2","Carex","OSPW","D84","13-10-2021",21.6,"Rhizosphere.Carex.OSPW.D84",63.165,12.394,25.176,200.582,55.896,74.117,95.849,102.551,19.959,12.106,41.683,29.192,171.021,102.056,19.955,9.046
"NS.1871.002.IDT_i7_88---IDT_i5_88.116-Mesococm-10-2-Exp1-TEST-Sed","116-Mesococm-10-2-Exp1-TEST-Sed","Sediments","Mesocosm_10","No_plant","OSPW","D84","13-10-2021",65.4,"Sediments.No_plant.OSPW.D84",98.977,21.456,41.241,308.534,77.937,107.044,143.389,171.258,33.607,13.224,59.864,39.629,260.633,153.887,37.411,16.338
"NS.1871.002.IDT_i7_89---IDT_i5_89.75-Mesocosm-2-1-Exp1-D42-Sed","75-Mesocosm-2-1-Exp1-D42-Sed","Sediments","Mesocosm_2","Carex","OSPW","D42","01-09-2021",40.6,"Sediments.Carex.OSPW.D42",71.453,17.345,31.741,237.346,49.077,73.211,107.883,123.267,22.686,10.998,40.21,32.548,187.911,84.63,24.006,12.004
"NS.1871.002.IDT_i7_9---IDT_i5_9.4-Mesocosm-2-2-Exp1-D-0-Sed","4-Mesocosm-2-2-Exp1-D-0-Sed","Sediments","Mesocosm_2","Carex","OSPW","D-0","14-07-2021",0.7,"Sediments.Carex.OSPW.D-0",44.03,14.572,20.997,178.633,34.227,51.924,79.425,80.947,16.863,6.682,30.611,23.099,127.005,67.268,15.534,8.847
"NS.1871.002.IDT_i7_90---IDT_i5_90.83-Mesocosm-6-1-Exp1-D42-Sed","83-Mesocosm-6-1-Exp1-D42-Sed","Sediments","Mesocosm_6","Carex","OSPW","D42","01-09-2021",43.5,"Sediments.Carex.OSPW.D42",46.161,12.123,21.157,185.186,47.053,52.111,76.298,85.512,17.304,11.302,26.206,21.917,132.59,74.1,19.264,6.756
"NS.1871.002.IDT_i7_91---IDT_i5_91.91-Mesocosm-10-1-Exp1-D42-Sed","91-Mesocosm-10-1-Exp1-D42-Sed","Sediments","Mesocosm_10","No_plant","OSPW","D42","01-09-2021",62.1,"Sediments.No_plant.OSPW.D42",61.562,15.28,27.599,207.759,51.108,58.397,102.959,84.775,15.964,12.375,27.095,24.933,153.623,75.108,16.335,8.045
"NS.1871.002.IDT_i7_92---IDT_i5_92.3-4-Mesocosm-2-1-2-2-Exp1-D-0-Rhizo","3-4-Mesocosm-2-1-2-2-Exp1-D-0-Rhizo","Rhizosphere","Mesocosm_2","Carex","OSPW","D-0","14-07-2021",0.7,"Rhizosphere.Carex.OSPW.D-0",76.049,21.557,31.639,277.911,63.397,88.798,124.829,149.04,24.006,16.134,58.08,35.898,216.331,128.115,24.379,13.253
"NS.1871.002.IDT_i7_93---IDT_i5_93.11-Mesocosm-6-1-Exp1-D-0-Sed","11-Mesocosm-6-1-Exp1-D-0-Sed","Sediments","Mesocosm_6","Carex","OSPW","D-0","14-07-2021",1,"Sediments.Carex.OSPW.D-0",72.066,17.887,31.236,251.497,52.481,68.7,116.574,124.021,23.472,11.073,45.043,30.847,186.413,93.641,22.523,11.308
"NS.1871.002.IDT_i7_94---IDT_i5_94.17-Mesocosm-9-1-Exp1-D-0-Sed","17-Mesocosm-9-1-Exp1-D-0-Sed","Sediments","Mesocosm_9","No_plant","OSPW","D-0","14-07-2021",1,"Sediments.No_plant.OSPW.D-0",102.32,24.205,50.094,365.99,81.524,103.684,184.56,178.887,36.026,15.792,48.894,44.447,282.172,145.831,31.938,17.913
"NS.1871.002.IDT_i7_97---IDT_i5_97.22-Mesocosm-11-2-Exp1-D-0-Sed","22-Mesocosm-11-2-Exp1-D-0-Sed","Sediments","Mesocosm_11","No_plant","Artificial_OSPW","D-0","14-07-2021",1.1,"Sediments.No_plant.Artificial_OSPW.D-0",71.185,22.263,31.922,244.957,53.005,77.995,120.424,128.522,21.03,10.66,42.907,36.653,192.243,105.18,24.577,12.212
"NS.1871.002.IDT_i7_98---IDT_i5_98.28-Mesocosm-2-2-Exp1-D8-Sed","28-Mesocosm-2-2-Exp1-D8-Sed","Sediments","Mesocosm_2","Carex","OSPW","D8","29-07-2021",74.8,"Sediments.Carex.OSPW.D8",93.469,25.716,46.182,323.237,73.959,115.306,161.292,174.389,29.337,17.337,55.099,42.663,259.981,143.257,34.448,17.155
"NS.1871.002.IDT_i7_99---IDT_i5_99.35-Mesocosm-6-1-Exp1-D8-Sed","35-Mesocosm-6-1-Exp1-D8-Sed","Sediments","Mesocosm_6","Carex","OSPW","D8","29-07-2021",68.3,"Sediments.Carex.OSPW.D8",68.759,19.303,29.217,284.786,58.033,85.161,139.698,136.67,25.373,13.311,49.109,31.496,212.869,104.111,23.722,10.723
